hisco_1_id;hisco_2_id;label2;description2;label1;description1;hisco_3_id;label3;description3;hisco_45_id;label45;description45;hisco_full_id;hisco_full_id_pretty
9;6;Stationary Engine And Related Equipment Operators;"Workers in this minor group operate equipment to produce electric power and control its distribution; operate and tend stationary engines and related equipment such as steam boilers, air and gas compressors, pumps, refrigeration plant, heating and ventilation systems and water treatment, waste disposal and similar types of equipment.";Production and related workers, transport equipment operators and labourers;"Workers in this major group are engaged in or directly associated with the extraction of minerals, petroleum and natural gas from the earth and their treatment; manufacturing processes; the construction, maintenance and repair of various types of roads, structures, machines and other products. Also included are those who handle materials, operate transport and other equipment and perform labouring tasks requiring primarily physical effort.";1;Power-Generating Machinery Operators;"Workers in this unit group operate equipment to produce electrical power and control its distribution. Their functions include: controlling and operating a steam power-generating plant consisting of boilers, turbines, generators and associated equipment; controlling hydraulic equipment at a hydro-electric generating station; controlling a nuclear-power reactor to produce steam to drive electricity-generating equipment or other machinery; operating steam or water-powered turbine to drive generators in electricity production; controlling power output and distribution of electricity from power station according to demand; performing related tasks.";0;Power-Generating Machinery Operator, Specialisation Unknown;May perform any (but not all) of the occupational activities described in unit group 9-61.;96100;9-61.00
9;6;Stationary Engine And Related Equipment Operators;"Workers in this minor group operate equipment to produce electric power and control its distribution; operate and tend stationary engines and related equipment such as steam boilers, air and gas compressors, pumps, refrigeration plant, heating and ventilation systems and water treatment, waste disposal and similar types of equipment.";Production and related workers, transport equipment operators and labourers;"Workers in this major group are engaged in or directly associated with the extraction of minerals, petroleum and natural gas from the earth and their treatment; manufacturing processes; the construction, maintenance and repair of various types of roads, structures, machines and other products. Also included are those who handle materials, operate transport and other equipment and perform labouring tasks requiring primarily physical effort.";1;Power-Generating Machinery Operators;"Workers in this unit group operate equipment to produce electrical power and control its distribution. Their functions include: controlling and operating a steam power-generating plant consisting of boilers, turbines, generators and associated equipment; controlling hydraulic equipment at a hydro-electric generating station; controlling a nuclear-power reactor to produce steam to drive electricity-generating equipment or other machinery; operating steam or water-powered turbine to drive generators in electricity production; controlling power output and distribution of electricity from power station according to demand; performing related tasks.";20;Steam Power Plant Operator;Controls and operates boilers, turbines, generators and auxiliary equipment at electricity generating plant.;96120;9-61.20
9;6;Stationary Engine And Related Equipment Operators;"Workers in this minor group operate equipment to produce electric power and control its distribution; operate and tend stationary engines and related equipment such as steam boilers, air and gas compressors, pumps, refrigeration plant, heating and ventilation systems and water treatment, waste disposal and similar types of equipment.";Production and related workers, transport equipment operators and labourers;"Workers in this major group are engaged in or directly associated with the extraction of minerals, petroleum and natural gas from the earth and their treatment; manufacturing processes; the construction, maintenance and repair of various types of roads, structures, machines and other products. Also included are those who handle materials, operate transport and other equipment and perform labouring tasks requiring primarily physical effort.";1;Power-Generating Machinery Operators;"Workers in this unit group operate equipment to produce electrical power and control its distribution. Their functions include: controlling and operating a steam power-generating plant consisting of boilers, turbines, generators and associated equipment; controlling hydraulic equipment at a hydro-electric generating station; controlling a nuclear-power reactor to produce steam to drive electricity-generating equipment or other machinery; operating steam or water-powered turbine to drive generators in electricity production; controlling power output and distribution of electricity from power station according to demand; performing related tasks.";30;Hydroelectric Station Operator;Controls electrical generating units and related mechanical and hydraulic equipment at hydroelectric generating station.;96130;9-61.30
9;6;Stationary Engine And Related Equipment Operators;"Workers in this minor group operate equipment to produce electric power and control its distribution; operate and tend stationary engines and related equipment such as steam boilers, air and gas compressors, pumps, refrigeration plant, heating and ventilation systems and water treatment, waste disposal and similar types of equipment.";Production and related workers, transport equipment operators and labourers;"Workers in this major group are engaged in or directly associated with the extraction of minerals, petroleum and natural gas from the earth and their treatment; manufacturing processes; the construction, maintenance and repair of various types of roads, structures, machines and other products. Also included are those who handle materials, operate transport and other equipment and perform labouring tasks requiring primarily physical effort.";1;Power-Generating Machinery Operators;"Workers in this unit group operate equipment to produce electrical power and control its distribution. Their functions include: controlling and operating a steam power-generating plant consisting of boilers, turbines, generators and associated equipment; controlling hydraulic equipment at a hydro-electric generating station; controlling a nuclear-power reactor to produce steam to drive electricity-generating equipment or other machinery; operating steam or water-powered turbine to drive generators in electricity production; controlling power output and distribution of electricity from power station according to demand; performing related tasks.";40;Power-Reactor Operator;Controls nuclear reactor to produce steam power to drive electricity-generating equipment or other machinery.;96140;9-61.40
9;6;Stationary Engine And Related Equipment Operators;"Workers in this minor group operate equipment to produce electric power and control its distribution; operate and tend stationary engines and related equipment such as steam boilers, air and gas compressors, pumps, refrigeration plant, heating and ventilation systems and water treatment, waste disposal and similar types of equipment.";Production and related workers, transport equipment operators and labourers;"Workers in this major group are engaged in or directly associated with the extraction of minerals, petroleum and natural gas from the earth and their treatment; manufacturing processes; the construction, maintenance and repair of various types of roads, structures, machines and other products. Also included are those who handle materials, operate transport and other equipment and perform labouring tasks requiring primarily physical effort.";1;Power-Generating Machinery Operators;"Workers in this unit group operate equipment to produce electrical power and control its distribution. Their functions include: controlling and operating a steam power-generating plant consisting of boilers, turbines, generators and associated equipment; controlling hydraulic equipment at a hydro-electric generating station; controlling a nuclear-power reactor to produce steam to drive electricity-generating equipment or other machinery; operating steam or water-powered turbine to drive generators in electricity production; controlling power output and distribution of electricity from power station according to demand; performing related tasks.";50;Turbine Operator (Power Station);Operates a steam or water-powered turbine which drives generators for producing electricity.;96150;9-61.50
9;6;Stationary Engine And Related Equipment Operators;"Workers in this minor group operate equipment to produce electric power and control its distribution; operate and tend stationary engines and related equipment such as steam boilers, air and gas compressors, pumps, refrigeration plant, heating and ventilation systems and water treatment, waste disposal and similar types of equipment.";Production and related workers, transport equipment operators and labourers;"Workers in this major group are engaged in or directly associated with the extraction of minerals, petroleum and natural gas from the earth and their treatment; manufacturing processes; the construction, maintenance and repair of various types of roads, structures, machines and other products. Also included are those who handle materials, operate transport and other equipment and perform labouring tasks requiring primarily physical effort.";1;Power-Generating Machinery Operators;"Workers in this unit group operate equipment to produce electrical power and control its distribution. Their functions include: controlling and operating a steam power-generating plant consisting of boilers, turbines, generators and associated equipment; controlling hydraulic equipment at a hydro-electric generating station; controlling a nuclear-power reactor to produce steam to drive electricity-generating equipment or other machinery; operating steam or water-powered turbine to drive generators in electricity production; controlling power output and distribution of electricity from power station according to demand; performing related tasks.";60;Power-Switchboard Operator;Regulates the amount of electricity generated in a power station according to demand.;96160;9-61.60
9;6;Stationary Engine And Related Equipment Operators;"Workers in this minor group operate equipment to produce electric power and control its distribution; operate and tend stationary engines and related equipment such as steam boilers, air and gas compressors, pumps, refrigeration plant, heating and ventilation systems and water treatment, waste disposal and similar types of equipment.";Production and related workers, transport equipment operators and labourers;"Workers in this major group are engaged in or directly associated with the extraction of minerals, petroleum and natural gas from the earth and their treatment; manufacturing processes; the construction, maintenance and repair of various types of roads, structures, machines and other products. Also included are those who handle materials, operate transport and other equipment and perform labouring tasks requiring primarily physical effort.";1;Power-Generating Machinery Operators;"Workers in this unit group operate equipment to produce electrical power and control its distribution. Their functions include: controlling and operating a steam power-generating plant consisting of boilers, turbines, generators and associated equipment; controlling hydraulic equipment at a hydro-electric generating station; controlling a nuclear-power reactor to produce steam to drive electricity-generating equipment or other machinery; operating steam or water-powered turbine to drive generators in electricity production; controlling power output and distribution of electricity from power station according to demand; performing related tasks.";70;Load Dispatcher (Electric Power);Controls the supply and distribution of electricity from power stations to ensure that consumers' demands are met.;96170;9-61.70
9;6;Stationary Engine And Related Equipment Operators;"Workers in this minor group operate equipment to produce electric power and control its distribution; operate and tend stationary engines and related equipment such as steam boilers, air and gas compressors, pumps, refrigeration plant, heating and ventilation systems and water treatment, waste disposal and similar types of equipment.";Production and related workers, transport equipment operators and labourers;"Workers in this major group are engaged in or directly associated with the extraction of minerals, petroleum and natural gas from the earth and their treatment; manufacturing processes; the construction, maintenance and repair of various types of roads, structures, machines and other products. Also included are those who handle materials, operate transport and other equipment and perform labouring tasks requiring primarily physical effort.";1;Power-Generating Machinery Operators;"Workers in this unit group operate equipment to produce electrical power and control its distribution. Their functions include: controlling and operating a steam power-generating plant consisting of boilers, turbines, generators and associated equipment; controlling hydraulic equipment at a hydro-electric generating station; controlling a nuclear-power reactor to produce steam to drive electricity-generating equipment or other machinery; operating steam or water-powered turbine to drive generators in electricity production; controlling power output and distribution of electricity from power station according to demand; performing related tasks.";90;Other Power-Generating Machinery Operators;"This group includes other power-generating machinery operators not elsewhere classified, for example those who assist power-generating plant operators in power stations; control feeder switchboards in power substations; operate power-generating plant servicing an individual or other establishment.";96190;9-61.90
9;6;Stationary Engine And Related Equipment Operators;"Workers in this minor group operate equipment to produce electric power and control its distribution; operate and tend stationary engines and related equipment such as steam boilers, air and gas compressors, pumps, refrigeration plant, heating and ventilation systems and water treatment, waste disposal and similar types of equipment.";Production and related workers, transport equipment operators and labourers;"Workers in this major group are engaged in or directly associated with the extraction of minerals, petroleum and natural gas from the earth and their treatment; manufacturing processes; the construction, maintenance and repair of various types of roads, structures, machines and other products. Also included are those who handle materials, operate transport and other equipment and perform labouring tasks requiring primarily physical effort.";9;Stationary Engine and Related Equipment Operators Not Elsewhere Classified;"Workers in this unit group operate and service stationary engines and related equipment. Their functions include: operating and servicing various types of stationary engines and related mechanical equipment; operating and servicing a particular type of stationary engine or installation such as compressor, steam boiler, pumping equipment, water treatment plant, incinerator, refrigeration unit, ventilation and heating installation; performing related tasks. Crane and hoist operators, including Opening bridge operator, are classified in unit group 9-73.";10;Stationary Engine Operator, General;Operates and services various types of stationary engines and related mechanical equipment such as prime movers to drive machinery (other than generators), compressor units, pumps, refrigeration and ventilation equipment and similar installations.;96910;9-69.10
9;6;Stationary Engine And Related Equipment Operators;"Workers in this minor group operate equipment to produce electric power and control its distribution; operate and tend stationary engines and related equipment such as steam boilers, air and gas compressors, pumps, refrigeration plant, heating and ventilation systems and water treatment, waste disposal and similar types of equipment.";Production and related workers, transport equipment operators and labourers;"Workers in this major group are engaged in or directly associated with the extraction of minerals, petroleum and natural gas from the earth and their treatment; manufacturing processes; the construction, maintenance and repair of various types of roads, structures, machines and other products. Also included are those who handle materials, operate transport and other equipment and perform labouring tasks requiring primarily physical effort.";9;Stationary Engine and Related Equipment Operators Not Elsewhere Classified;"Workers in this unit group operate and service stationary engines and related equipment. Their functions include: operating and servicing various types of stationary engines and related mechanical equipment; operating and servicing a particular type of stationary engine or installation such as compressor, steam boiler, pumping equipment, water treatment plant, incinerator, refrigeration unit, ventilation and heating installation; performing related tasks. Crane and hoist operators, including Opening bridge operator, are classified in unit group 9-73.";20;Air Compressor Operator;Operates and services a compressor which generates and supplies compressed air to pneumatic tools, hoists or other equipment.;96920;9-69.20
